values:Timestamp,close,high,low,open,volume
1434116040,128.0700,128.1400,127.7000,128.0231,1786900
1434116399,127.8600,128.1400,127.8200,128.0700,1124700
1434116699,127.7700,128.0000,127.7500,127.8200,750400
1434116999,127.9400,128.0700,127.7200,127.7600,860800
1434117240,127.9000,128.0300,127.8000,127.9500,636700
1434117599,127.9200,128.0050,127.8300,127.8900,534200
1434117840,128.1700,128.2380,127.8284,127.9300,920200
1434118199,128.2200,128.3300,128.1500,128.1700,575300
1434118440,128.1200,128.2820,128.0700,128.2395,456100
1434118799,128.0500,128.2400,127.9600,128.1200,444000
1434119040,127.9200,128.0900,127.9000,128.0402,410900
1434119399,127.9382,128.1100,127.9000,127.9300,287600
1434119640,127.7100,127.9800,127.7000,127.9300,614800
1434119999,127.8050,127.8300,127.7000,127.7000,786700
1434120299,127.8300,127.8400,127.7000,127.8010,402300
1434120599,127.7580,127.8400,127.7000,127.8290,431600
1434120841,127.8400,127.8900,127.7100,127.7632,272300
1434121140,127.4640,127.8600,127.4300,127.8400,929700
1434121443,127.6750,127.6900,127.3900,127.4400,540500
1434121799,127.6600,127.7600,127.6500,127.6700,417100
1434122099,127.8990,128.0400,127.6000,127.6600,661800
1434122341,127.8600,128.0000,127.7800,127.8999,443900
1434122640,127.8000,127.9000,127.7400,127.8584,312200
1434122999,127.8500,127.9600,127.7799,127.8000,299200
1434123298,127.8300,127.9000,127.7800,127.8600,227400
1434123540,127.6899,127.8290,127.6500,127.8201,219300
1434123899,127.6998,127.7300,127.6100,127.6850,352300
1434124199,127.6000,127.7000,127.5500,127.6800,345300
1434124440,127.6200,127.6700,127.5800,127.5900,145100
1434124740,127.6100,127.6700,127.5500,127.6200,202000
1434125098,127.5700,127.6600,127.5500,127.6100,192700
1434125340,127.5100,127.6100,127.5100,127.5600,212400
1434125696,127.5200,127.5700,127.4500,127.5100,323300
1434125941,127.5100,127.5300,127.4301,127.5100,274100
1434126246,127.5700,127.5796,127.4800,127.5100,296500
1434126542,127.6300,127.6700,127.5500,127.5800,343900
1434126899,127.6000,127.6300,127.5300,127.6300,158700
1434127140,127.6030,127.6300,127.5210,127.6000,204000
1434127443,127.5700,127.6300,127.5300,127.6100,141800
1434127743,127.6400,127.6600,127.5700,127.5700,199700
1434128040,127.6200,127.6500,127.5700,127.6400,140200
1434128398,127.5700,127.6300,127.5699,127.6300,101000
1434128699,127.6100,127.6300,127.5500,127.5700,144800
1434128941,127.6831,127.7000,127.5800,127.6100,230000
1434129241,127.7780,127.7900,127.6800,127.6900,247200
1434129540,127.7600,127.7801,127.7200,127.7800,219700
1434129840,127.7600,127.7900,127.7200,127.7601,200100
1434130198,127.6199,127.7700,127.5600,127.7500,411700
1434130498,127.6900,127.7500,127.6050,127.6130,348000
1434130740,127.7300,127.7600,127.6800,127.7000,194200
1434131045,127.6000,127.7410,127.5900,127.7390,280000
1434131342,127.5457,127.6400,127.5300,127.6100,284000
1434131643,127.5800,127.6030,127.5100,127.5410,206200
1434131945,127.6700,127.6700,127.5800,127.5900,321500
1434132298,127.6000,127.6800,127.5700,127.6765,161900
