Dates,close,high,low,open,volume
2015-06-12-21:34:00,128.07,128.14,127.7,128.0231,1786900.0
2015-06-12-21:39:59,127.86,128.14,127.82,128.07,1124700.0
2015-06-12-21:44:59,127.77,128.0,127.75,127.82,750400.0
2015-06-12-21:49:59,127.94,128.07,127.72,127.76,860800.0
2015-06-12-21:54:00,127.9,128.03,127.8,127.95,636700.0
2015-06-12-21:59:59,127.92,128.005,127.83,127.89,534200.0
2015-06-12-22:04:00,128.17,128.238,127.8284,127.93,920200.0
2015-06-12-22:09:59,128.22,128.33,128.15,128.17,575300.0
2015-06-12-22:14:00,128.12,128.282,128.07,128.2395,456100.0
2015-06-12-22:19:59,128.05,128.24,127.96,128.12,444000.0
2015-06-12-22:24:00,127.92,128.09,127.9,128.0402,410900.0
2015-06-12-22:29:59,127.9382,128.11,127.9,127.93,287600.0
2015-06-12-22:34:00,127.71,127.98,127.7,127.93,614800.0
2015-06-12-22:39:59,127.805,127.83,127.7,127.7,786700.0
2015-06-12-22:44:59,127.83,127.84,127.7,127.801,402300.0
2015-06-12-22:49:59,127.758,127.84,127.7,127.829,431600.0
2015-06-12-22:54:01,127.84,127.89,127.71,127.7632,272300.0
2015-06-12-22:59:00,127.464,127.86,127.43,127.84,929700.0
2015-06-12-23:04:03,127.675,127.69,127.39,127.44,540500.0
2015-06-12-23:09:59,127.66,127.76,127.65,127.67,417100.0
2015-06-12-23:14:59,127.899,128.04,127.6,127.66,661800.0
2015-06-12-23:19:01,127.86,128.0,127.78,127.8999,443900.0
2015-06-12-23:24:00,127.8,127.9,127.74,127.8584,312200.0
2015-06-12-23:29:59,127.85,127.96,127.7799,127.8,299200.0
2015-06-12-23:34:58,127.83,127.9,127.78,127.86,227400.0
2015-06-12-23:39:00,127.6899,127.829,127.65,127.8201,219300.0
2015-06-12-23:44:59,127.6998,127.73,127.61,127.685,352300.0
2015-06-12-23:49:59,127.6,127.7,127.55,127.68,345300.0
2015-06-12-23:54:00,127.62,127.67,127.58,127.59,145100.0
2015-06-12-23:59:00,127.61,127.67,127.55,127.62,202000.0
2015-06-13-00:04:58,127.57,127.66,127.55,127.61,192700.0
2015-06-13-00:09:00,127.51,127.61,127.51,127.56,212400.0
2015-06-13-00:14:56,127.52,127.57,127.45,127.51,323300.0
2015-06-13-00:19:01,127.51,127.53,127.4301,127.51,274100.0
2015-06-13-00:24:06,127.57,127.5796,127.48,127.51,296500.0
2015-06-13-00:29:02,127.63,127.67,127.55,127.58,343900.0
2015-06-13-00:34:59,127.6,127.63,127.53,127.63,158700.0
2015-06-13-00:39:00,127.603,127.63,127.521,127.6,204000.0
2015-06-13-00:44:03,127.57,127.63,127.53,127.61,141800.0
2015-06-13-00:49:03,127.64,127.66,127.57,127.57,199700.0
2015-06-13-00:54:00,127.62,127.65,127.57,127.64,140200.0
2015-06-13-00:59:58,127.57,127.63,127.5699,127.63,101000.0
2015-06-13-01:04:59,127.61,127.63,127.55,127.57,144800.0
2015-06-13-01:09:01,127.6831,127.7,127.58,127.61,230000.0
2015-06-13-01:14:01,127.778,127.79,127.68,127.69,247200.0
2015-06-13-01:19:00,127.76,127.7801,127.72,127.78,219700.0
2015-06-13-01:24:00,127.76,127.79,127.72,127.7601,200100.0
2015-06-13-01:29:58,127.6199,127.77,127.56,127.75,411700.0
2015-06-13-01:34:58,127.69,127.75,127.605,127.613,348000.0
2015-06-13-01:39:00,127.73,127.76,127.68,127.7,194200.0
2015-06-13-01:44:05,127.6,127.741,127.59,127.739,280000.0
2015-06-13-01:49:02,127.5457,127.64,127.53,127.61,284000.0
