Dates,Open,Last_price,RSI_9D,RSI_14D,RSI_30D,Rolling_max
2015-05-11,127.39,126.32,37.5733,48.8148,53.5426,
2015-05-12,125.6,125.865,36.4787,47.8723,52.9672,
2015-05-13,126.15,126.01,37.1353,48.2155,53.1332,
2015-05-14,127.41,128.95,49.1288,54.723,56.3643,
2015-05-15,129.07,128.77,48.4916,54.2733,56.1192,
2015-05-18,128.38,130.19,53.8087,57.2574,57.6227,
2015-05-19,130.69,130.07,53.2858,56.9193,57.4507,
2015-05-20,130.0,130.06,53.2373,56.8892,57.4359,
2015-05-21,130.07,131.39,58.8429,59.9286,58.8916,
2015-05-22,131.6,132.54,63.1409,62.3972,60.1119,132.54
2015-05-26,132.6,129.62,48.6333,53.4014,55.7639,132.54
2015-05-27,130.34,132.045,57.7113,58.7236,58.352,132.54
2015-05-28,131.86,131.78,56.4841,57.9448,57.9686,132.54
2015-05-29,131.23,130.28,49.7477,53.6105,55.821000000000005,132.54
2015-06-01,131.2,130.535,50.8683,54.2372,56.1069,132.54
2015-06-02,129.86,129.96,48.1447,52.5144,55.2724,132.54
2015-06-03,130.66,130.12,48.9995,52.9621,55.4631,132.54
2015-06-04,129.58,129.36,45.0326,50.5253,54.3249,132.54
2015-06-05,129.5,128.65,41.5014,48.2899,53.2685,132.54
2015-06-08,128.9,127.8,37.5371,45.684,52.0158,132.045
2015-06-09,126.7,127.42,35.8164,44.5271,51.4562,132.045
2015-06-10,127.92,128.88,46.4305,49.7882,53.4469,131.78
2015-06-11,129.18,128.59,44.7759,48.7982,53.0003,130.535
